,Player,stat,lower_iqr,median,mean,higher_iqr
7000,Raphael Diaz\diazra01,sh_perc,0.0376086288103356,0.03841771564285401,0.03844068444135154,0.039263828412825164
7001,Raphael Diaz\diazra01,pim_gp,0.11771152240517256,0.1618643385522526,0.17727879436518346,0.22521780051484944
7002,Bryan Rodney\rodnebr01,hits_gp,0.12346516983474946,0.3948158837818865,1.095746523258555,1.3472044381010864
7003,Bryan Rodney\rodnebr01,even_g_gp,0.0,0.0,0.0,0.0
7004,Bryan Rodney\rodnebr01,blocks_gp,0.43370452625911166,0.901083717173592,1.4043025079084335,1.91708364923392
7005,Bryan Rodney\rodnebr01,pp_a_gp,0.22069695760104235,0.22734000402268972,0.227535368805479,0.23427456717999648
7006,Bryan Rodney\rodnebr01,pp_g_gp,0.0,0.0,0.0,0.0
7007,Bryan Rodney\rodnebr01,even_a_gp,0.0,0.0,0.0,0.0
7008,Bryan Rodney\rodnebr01,fow_perc,0.0,0.0,0.0,0.0
7009,Bryan Rodney\rodnebr01,sh_perc,0.0,0.0,0.0,0.0
7010,Bryan Rodney\rodnebr01,pim_gp,0.35188829313417924,0.5689137985529041,0.6941151182054405,0.9441029492952879
7011,Jeff Hoggan\hoggaje01,hits_gp,-2421.28204978296,-0.6063169954205823,-687214.8469720234,830.7919792191456
7012,Jeff Hoggan\hoggaje01,even_g_gp,0.0,0.0,0.0,0.0
7013,Jeff Hoggan\hoggaje01,blocks_gp,0.0,0.0,0.0,0.0
7014,Jeff Hoggan\hoggaje01,pp_a_gp,0.0,0.0,0.0,0.0
7015,Jeff Hoggan\hoggaje01,pp_g_gp,0.0,0.0,0.0,0.0
7016,Jeff Hoggan\hoggaje01,even_a_gp,0.033910367881083404,0.04218071941865725,0.0439220023277258,0.052730770431549626
7017,Jeff Hoggan\hoggaje01,fow_perc,0.0,0.0,0.0,0.0
7018,Jeff Hoggan\hoggaje01,sh_perc,0.0,0.0,0.0,0.0
7019,Jeff Hoggan\hoggaje01,pim_gp,0.025472172424854545,0.2111681573819892,0.6604419109703776,0.8535954460736842
7020,Noah Juulsen\juulsno01,hits_gp,0.0,0.0,0.0,0.0
7021,Noah Juulsen\juulsno01,even_g_gp,0.0,0.0,0.0,0.0
7022,Noah Juulsen\juulsno01,blocks_gp,0.0,0.0,0.0,0.0
7023,Noah Juulsen\juulsno01,pp_a_gp,0.0,0.0,0.0,0.0
7024,Noah Juulsen\juulsno01,pp_g_gp,0.0,0.0,0.0,0.0
7025,Noah Juulsen\juulsno01,even_a_gp,0.0,0.0,0.0,0.0
7026,Noah Juulsen\juulsno01,fow_perc,0.0,0.0,0.0,0.0
7027,Noah Juulsen\juulsno01,sh_perc,0.0,0.0,0.0,0.0
7028,Noah Juulsen\juulsno01,pim_gp,0.0,0.0,0.0,0.0
7029,Erik Westrum\westrer01,hits_gp,0.0,0.0,0.0,0.0
7030,Erik Westrum\westrer01,even_g_gp,0.0,0.0,0.0,0.0
7031,Erik Westrum\westrer01,blocks_gp,0.0,0.0,0.0,0.0
7032,Erik Westrum\westrer01,pp_a_gp,0.0,0.0,0.0,0.0
7033,Erik Westrum\westrer01,pp_g_gp,0.0,0.0,0.0,0.0
